gene_name,entry_h,NE Enrich Score in U,NE Enrich Score in A,NE Enrich Score in M
Tmem9b,Q9NQ34,0.16697605936630341,0.5517966909604534,0
Scarb2,Q14108,0.15263931243236323,0.5009459270903575,0.02580015917663309
Ptprg,P23470,0.03560063336587295,0.5711538183811056,0
Cybc1,Q9BQA9,0.5478585157992754,0.7202189423964955,0.21982787697770922
C19orf47,Q8N9M1,0.18717795470494603,0.5731584135373231,0.6000255905859431
C17orf75,Q9HAS0,0.10492879210857134,0.6154451496020118,0.4129802326635315
C7orf50,Q9BRJ6,0.0846130962167727,0,0.671931550068263
C1orf198,Q9H425,0.05984484332158958,1,0.5726746355753372
RTRAF,Q9Y224,0,0.5441114850008777,0.6039697669167804
Lpcat3,Q6P1A2,0.16581224672487127,0.050653223702586674,1
Slc25a42,Q86VD7,0,0.2313888019994063,0.8869313206622609
Yipf3,Q9GZM5,0.15735669334304478,0,0.7708223363100128
Qsox2,Q6ZRP7,0.023230420567886722,0.24205390179391753,0.6530090141278658
Pomgnt1,Q8WZA1,0,0.07545053023134682,0.6233205957863935
Micu1,Q9BPX6,0.0924495566372425,0.08295734410993427,0.5288161977453768
Mboat7,Q96N66,0.6042373852891462,0.3585275298837922,0.889285608359504
Acsl5,Q9ULC5,0.4082373372761373,0.24580157437045444,0.7585969643909581
Far1,Q8WVX9,0.39425726486944257,0.2942869327967315,0.6968905959921793
Ssr3,Q9UNL2,0.7067864248964334,0.25631806467912577,0.6824505699551452
Tmx2,Q9Y320,0.6963768842342852,0.2414065237907756,0.7360387042916757
Derl2,Q9GZP9,0.612596773355513,0.2842606442675653,0.6929845278230442
Sgpp1,Q9BX95,0.582936558558706,0.30154773434550763,0.7585086412229604
Vmp1,Q96GC9,0.5556645709282901,0.28282562129463945,0.6492251884566105
Cds2,O95674,0.4932747293046672,0.25338213150898037,0.7440420023415726
Dpm3,Q9P2X0,0.47012435429897637,0.22474989686032965,0.7620253739442907
Cdipt,O14735,0.4187558622652401,0.15819194486843732,0.7620253600975486
Emc4,Q5J8M3,0.433102038411659,0.3349578336668765,0.78209842344379
Atl2,Q8NHH9,0.3935322655889872,0.3196117996747017,0.9108409896575819
Bnip1,Q12981,0.7529368044621989,0.2690422143982169,0.8112306133704946
Sec11a,P67812,0.719140200382395,0.15321358644875602,0.8265233090301293
Pigu,Q9H490,0.5965748965784788,0.3521075517764578,1
Dnajb12,Q9NXW2,0.5656814628261922,0,1
Hsd17b7,P56937,0.5447250764802085,0.21149574089189185,0.723067297353741
Alg5,Q9Y673,0.4314181890739736,0.34271536730663427,0.7361949234116206
