UniprotID,GeneName,Schirmer_2003,Korfali_2010,Wilkie_2010,Korfali_2012,Korfali_2012_NE:MM-ratio,Cheng_2019,Cheng_2019_Score:Undiff,Cheng_2019_Score:Adipo,Cheng_2019_Score:Myo,#ProteomePapers
Q96MH6,TMEM68,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8N6M3,FITM2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q96ND0,FAM210A,0,1,0,1,0.84,1,0.5020970674587154,0.3133632552443895,0.1827803697956815,3
Q6UWD8,C16orf54,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9NWW5,CLN6,0,1,1,0,0.0,0,0.0,0.0,0.0,2
Q96A26,FAM162A,0,1,0,0,0.0,0,0.0,0.0,0.0,1
A5PLL7,TMEM189,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8WVC6,DCAKD,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8TB36,GDAP1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9BZW5,TM6SF1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
O94886,TMEM63A,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q8WXF7,ATL1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q7Z7N9,TMEM179B,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8IY95,TMEM192,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8NC44,RETREG2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
O14524,NEMP1,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q9NX78,TMEM260,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q86UV5,USP48,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8IUH4,ZDHHC13,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q4KMQ2,ANO6,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q5W0Z9,ZDHHC20,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q86XL3,ANKLE2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9Y2W6,TDRKH,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q53EP0,FNDC3B,0,1,1,0,0.0,1,0.5213625308821106,0.591671244127422,0.6361945171948957,3
Q14667,BLTP2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9H4I9,SMDT1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9NX00,TMEM160,0,1,0,1,5.81,0,0.0,0.0,0.0,2
Q5TGZ0,MICOS10,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9H061,TMEM126A,0,1,0,1,0.26,0,0.0,0.0,0.0,2
Q9Y2R0,COA3,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9BUB7,TMEM70,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q96HV5,TMEM41A,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q9BV81,EMC6,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9NPB0,SAYSD1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8WUY8,NAT14,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q86V85,GPR180,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8N386,LRRC25,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q5TGY1,TMCO4,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9NX61,TMEM161A,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q96AA3,RFT1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q6NSJ0,MYORG,0,0,1,1,0.61,0,0.0,0.0,0.0,2
Q8TED0,UTP15,0,0,1,0,0.0,0,0.0,0.0,0.0,1
O60287,URB1,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q9H6F2,TMEM38A,0,0,1,1,2.09,0,0.0,0.0,0.0,2
O76024,WFS1,0,0,1,1,3.41,0,0.0,0.0,0.0,2
Q9H511,KLHL31,0,0,1,1,inf,0,0.0,0.0,0.0,2
Q3ZAQ7,VMA21,0,0,1,1,2.11,0,0.0,0.0,0.0,2
Q6NUQ4,TMEM214,0,0,1,1,0.58,1,0.3705038268588975,0.6486882448767612,0.2825690503649857,3
Q9HBU9,POPDC2,0,0,1,1,0.92,0,0.0,0.0,0.0,2
Q8N0U8,VKORC1L1,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q9Y4J8,DTNA,0,0,1,1,5.09,0,0.0,0.0,0.0,2
Q9Y320,TMX2,0,0,1,0,0.0,1,0.6963768842342852,0.2414065237907756,0.7360387042916757,2
Q86UP2,KTN1,0,0,1,1,2.75,0,0.0,0.0,0.0,2
Q96K19,RNF170,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q96LT4,SAMD8,0,0,1,1,inf,0,0.0,0.0,0.0,2
Q6PK18,OGFOD3,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q70UQ0,IKBIP,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q75T13,PGAP1,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q96IK0,TMEM101,0,0,1,0,0.0,0,0.0,0.0,0.0,1
B4DJY2,TMEM233,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q6ZXV5,TMTC3,0,0,1,1,2.16,1,0.5429744708840986,0.416859873275016,0.6407838226287972,3
Q99675,CGRRF1,0,0,1,1,inf,0,0.0,0.0,0.0,2
Q96S06,LMF1,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q5I7T1,ALG10B,0,0,1,1,inf,0,0.0,0.0,0.0,2
Q16821,PPP1R3A,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q8N5G2,MACO1,0,0,1,1,inf,0,0.0,0.0,0.0,2
Q6ZV29,PNPLA7,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q0P6H9,TMEM62,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q8IZF2,ADGRF5,0,0,1,0,0.0,0,0.0,0.0,0.0,1
A6NMS7,LRRC37A,0,0,1,1,1.41,0,0.0,0.0,0.0,2
Q7Z407,CSMD3,0,0,1,0,0.0,0,0.0,0.0,0.0,1
Q9BXJ8,TMEM120A,0,0,0,1,inf,0,0.0,0.0,0.0,1
Q96NL1,TMEM74,0,0,0,1,3.36,0,0.0,0.0,0.0,1
P00533,EGFR,0,0,0,1,0.14,0,0.0,0.0,0.0,1
Q15043,SLC39A14,0,0,0,1,0.15,0,0.0,0.0,0.0,1
Q8WW43,APH1B,0,0,0,1,inf,0,0.0,0.0,0.0,1
Q8IVS2,MCAT,0,0,0,1,inf,0,0.0,0.0,0.0,1
Q9UN42,ATP1B4,0,0,0,1,inf,0,0.0,0.0,0.0,1
Q9Y2G8,DNAJC16,0,0,0,1,1.16,0,0.0,0.0,0.0,1
P05026,ATP1B1,0,0,0,1,0.02,0,0.0,0.0,0.0,1
P21817,RYR1,0,0,0,1,0.03,0,0.0,0.0,0.0,1
Q9HBR0,SLC38A10,0,0,0,1,1.31,0,0.0,0.0,0.0,1
Q6P4Q7,CNNM4,0,0,0,1,0.08,0,0.0,0.0,0.0,1
Q8IWT6,LRRC8A,0,0,0,1,0.86,0,0.0,0.0,0.0,1
P08183,ABCB1,0,0,0,1,inf,0,0.0,0.0,0.0,1
P19634,SLC9A1,0,0,0,1,0.06,1,0.516807202143892,0.1876476048539519,0.0722692698256257,2
Q14571,ITPR2,0,0,0,1,1.49,1,0.4003512447604254,0.4057777573385781,0.5682873508709584,2
Q9BSJ8,ESYT1,0,0,0,1,2.02,0,0.0,0.0,0.0,1
Q96A57,TMEM230,0,0,0,1,0.77,1,0.4171008722051511,0.1661308763030714,0.612214493099812,2
Q13501,SQSTM1,0,0,0,1,inf,0,0.0,0.0,0.0,1
Q9BVT8,TMUB1,0,0,0,1,0.24,0,0.0,0.0,0.0,1
Q96HD1,CRELD1,0,0,0,1,2.89,0,0.0,0.0,0.0,1
Q9NRP0,OSTC,0,0,0,1,2.12,1,0.4295375812214581,0.5007298723358352,0.3172598625513573,2
O96005,CLPTM1,0,0,0,1,1.23,0,0.0,0.0,0.0,1
Q8N5K1,CISD2,0,0,0,1,1.14,0,0.0,0.0,0.0,1
Q96PC5,MIA2,0,0,0,1,0.02,0,0.0,0.0,0.0,1
Q8WUY1,THEM6,0,0,0,1,0.65,0,0.0,0.0,0.0,1
Q7Z2K6,ERMP1,0,0,0,1,0.45,1,0.7097408498066597,0.4389990262405607,0.6379530657433937,2
Q7Z3C6,ATG9A,0,0,0,1,0.55,0,0.0,0.0,0.0,1
Q6DD88,ATL3,0,0,0,1,0.36,1,0.3597822129142107,0.2440651637920776,0.5446527076160699,2
O15258,Rer1,0,0,0,0,0.0,1,0.8126131083631404,0.2735167005651949,0.2037417278031249,1
O75907,Dgat1,0,0,0,0,0.0,1,0.7834530868292208,0.4051196215703244,0.2592424823744556,1
P60468,Sec61b,0,0,0,0,0.0,1,0.7726604388241319,0.2690556494032065,0.4590774381088969,1
Q9UHP7,Clec2d,0,0,0,0,0.0,1,0.7579206082073568,0.0,0.0,1
O75477,Erlin1,0,0,0,0,0.0,1,0.7131321108294382,0.2887253199698397,0.3005120653322191,1
Q15758,Slc1a5,0,0,0,0,0.0,1,0.7085357189614129,0.3546900443003867,0.0991286916330711,1
O43169,Cyb5b,0,0,0,0,0.0,1,0.6982212704397837,0.2238608448840432,0.3041721311205309,1
Q8TC12,Rdh11,0,0,0,0,0.0,1,0.6729050751279957,0.3348919221045324,0.356222333811772,1
P03928,Mtatp8,0,0,0,0,0.0,1,0.6698218399825504,0.2504637309127103,0.1663021672960478,1
O75923,Dysf,0,0,0,0,0.0,1,0.6530978224382631,0.354116755450378,0.3549500166687973,1
Q9P2W9,Stx18,0,0,0,0,0.0,1,0.6198220748630207,0.1122162157962027,0.1194428256207431,1
P16070,Cd44,0,0,0,0,0.0,1,0.6160611083830071,0.2387969374820335,0.1227232631733059,1
Q92508,Piezo1,0,0,0,0,0.0,1,0.593589478333848,0.0354629830540698,0.317304630093731,1
P08195,Slc3a2,0,0,0,0,0.0,1,0.5860006322178793,0.2746342464007337,0.1942072033384408,1
Q9Y639,Nptn,0,0,0,0,0.0,1,0.5794537705639259,0.3456627614108881,0.2232725174852615,1
Q16585,Sgcb,0,0,0,0,0.0,1,0.5686995428771622,0.2642544442230369,0.2489743163613252,1
Q9P0J0,Ndufa13,0,0,0,0,0.0,1,0.5621744126685154,0.2768545661635145,0.237504694384888,1
Q10589,Bst2,0,0,0,0,0.0,1,0.5588091045224375,0.3145106806988397,0.0840107720725524,1
P33121,Acsl1,0,0,0,0,0.0,1,0.5507518952065035,0.2793049801645628,0.2122743383585621,1
O95168,Ndufb4,0,0,0,0,0.0,1,0.5496074596664461,0.3951927085239086,0.2133588725086714,1
P19022,Cdh2,0,0,0,0,0.0,1,0.5219750312083457,0.1497314149759294,0.2086249491536762,1
Q6PCB8,Emb,0,0,0,0,0.0,1,0.5188962709193917,0.2499598161215934,0.0,1
